samples	Treatment
S1	Treatment_T0
S2	Treatment_T0
S3	Treatment_T0
S4	Treatment_T0
S5	Treatment_T0
S6	Treatment_T0
S7	Treatment_T0
S8	Treatment_T0
S9	Treatment_T0
S10	Treatment_T0
S11	Treatment_T0
S12	Treatment_T0
S14	Treatment_T0
S16	Treatment_T1
S17	Treatment_T1
S18	Treatment_T1
S19	Treatment_T1
S20	Treatment_T1
S21	Treatment_T1
S22	Treatment_T1
S23	Treatment_T1
S24	Treatment_T1
S25	Treatment_T1
S26	Treatment_T1
S27	Treatment_T1
S29	Treatment_T1
S31	Treatment_T2
S32	Treatment_T2
S33	Treatment_T2
S34	Treatment_T2
S35	Treatment_T2
S36	Treatment_T2
S37	Treatment_T2
S38	Treatment_T2
S39	Treatment_T2
S40	Treatment_T2
S41	Treatment_T2
S42	Treatment_T2
S44	Treatment_T2
S46	Control_T0
S47	Control_T0
S48	Control_T0
S49	Control_T0
S50	Control_T0
S51	Control_T0
S52	Control_T0
S53	Control_T0
S55	Control_T0
S56	Control_T0
S57	Control_T0
S59	Control_T0
S60	Control_T0
S62	Control_T1
S63	Control_T1
S64	Control_T1
S65	Control_T1
S66	Control_T1
S67	Control_T1
S68	Control_T1
S69	Control_T1
S71	Control_T1
S72	Control_T1
S73	Control_T1
S75	Control_T1
S76	Control_T1
S78	Control_T2
S79	Control_T2
S80	Control_T2
S81	Control_T2
S82	Control_T2
S83	Control_T2
S84	Control_T2
S85	Control_T2
S87	Control_T2
S88	Control_T2
S89	Control_T2
S91	Control_T2
S92	Control_T2
